TimeStamp,Fluid_Transaction,Liters_Dispensed,FleetNumber,Name,COY Number
2026-05-10 06:00:00,85W-140 Oil,499.45Ltr,OFH2006,James Carter,24517618
2026-05-10 09:54:36,15W40 Oil,273.87Ltr,OFH7803,Grace Roberts,85735401
2026-05-10 13:49:12,ACX30 Oil,500.85Ltr,OFH7803,Lily Lewis,13138584
2026-05-10 17:43:48,HYD 68 Oil,40.77Ltr,KMG1539,Isabella Harris,76925647
2026-05-10 20:00:24,15W40 Oil,568.09Ltr,KFH2040,Chloe Thomas,17316322
2026-05-11 06:00:00,ACX30 Oil,196.40Ltr,OFL9573,Charlotte Campbell,23693565
2026-05-11 06:00:36,HYD 68 Oil,594.10Ltr,OHT8635,Charlotte Campbell,23693565
2026-05-11 09:22:12,ACX30 Oil,521.89Ltr,KAD4059,Emily Thomas,19462106
2026-05-11 13:16:48,ACX30 Oil,327.39Ltr,KWD3294,Lucas Harris,41486519
2026-05-11 17:11:24,HYD 68 Oil,558.17Ltr,KWT2553,Ethan Allen,48515493
2026-05-11 20:00:00,15W40 Oil,513.75Ltr,KDT2515,Sarah Young,13187795
2026-05-12 06:00:36,ACX30 Oil,220.24Ltr,KDT8580,Lucas Mitchell,83123285
2026-05-12 06:00:12,85W-140 Oil,146.30Ltr,OHT8635,Lucas Harris,41486519
2026-05-12 08:49:48,ACX30 Oil,452.84Ltr,OFH7803,Jack Scott,86281141
2026-05-12 12:44:24,85W-140 Oil,101.94Ltr,KWD3294,Lucas Harris,41486519
2026-05-12 16:39:00,85W-140 Oil,446.88Ltr,KTH0064,Charlotte Campbell,23693565
2026-05-12 20:33:36,HYD 68 Oil,367.04Ltr,OBEX7239,William Smith,37941481
2026-05-13 06:00:12,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:13,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:14,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:15,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:16,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:16,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:17,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:18,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:19,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:20,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:21,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:22,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:23,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:24,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:25,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:26,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:27,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:28,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:29,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:30,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:31,HYD 68 Oil,573.86Ltr,KAD1563,James Carter,24517618
2026-05-13 06:00:48,15W40 Oil,451.48Ltr,KWT2553,Robert Mitchell,34318744
2026-05-13 08:17:24,85W-140 Oil,518.61Ltr,KWL1100,Lucas Mitchell,83123285
2026-05-13 12:12:00,15W40 Oil,86.91Ltr,KAD4059,Daniel Anderson,27457062
2026-05-13 16:06:36,85W-140 Oil,537.98Ltr,KTD5557,Jack Scott,86281141
2026-05-13 20:01:12,85W-140 Oil,587.29Ltr,KLB0089,Mia Nelson,63955959
2026-05-13 20:00:48,15W40 Oil,87.67Ltr,KTH0064,Grace White,15387207
2026-05-14 06:00:24,15W40 Oil,267.97Ltr,OHT2704,Lucas King,34011183
2026-05-14 07:45:00,15W40 Oil,578.01Ltr,KWL1100,Sarah Young,13187795
2026-05-14 11:39:36,85W-140 Oil,39.32Ltr,KWT2553,Grace White,15387207
2026-05-14 15:34:12,HYD 68 Oil,316.11Ltr,KTD5557,Grace Roberts,85735401
2026-05-14 19:28:48,ACX30 Oil,527.78Ltr,OFL9573,Isabella Harris,76925647
2026-05-14 20:00:24,85W-140 Oil,478.96Ltr,KTH0064,David Smith,26305713
2026-05-15 06:00:00,15W40 Oil,517.27Ltr,OHT8635,Noah Johnson,96702775
2026-05-15 07:12:36,85W-140 Oil,571.24Ltr,PBC8697,Charlotte Campbell,23693565
2026-05-15 11:07:12,85W-140 Oil,568.66Ltr,OHT6089,John Baker,16461063
2026-05-15 15:01:48,ACX30 Oil,451.88Ltr,WT4451,Michael Lewis,28770724
2026-05-15 18:56:24,HYD 68 Oil,397.10Ltr,KAD1563,Jack Scott,86281141
2026-05-15 20:00:00,15W40 Oil,181.00Ltr,PBC8697,Emma Phillips,42464177
2026-05-16 06:00:36,HYD 68 Oil,306.26Ltr,KWT9620,George Clark,18850542
2026-05-16 06:40:12,HYD 68 Oil,413.94Ltr,OHT8635,Olivia Taylor,96964921
2026-05-16 10:34:48,HYD 68 Oil,191.37Ltr,KTH0064,Lily Davis,92247255
2026-05-16 14:29:24,85W-140 Oil,29.01Ltr,KWT9620,Chloe Taylor,62218909
2026-05-16 18:24:00,ACX30 Oil,206.62Ltr,KMG5743,Olivia Young,53144987
2026-05-16 20:00:36,15W40 Oil,67.65Ltr,KFH4717,Chloe Thomas,17316322
2026-05-17 06:00:12,15W40 Oil,160.39Ltr,KWD5256,Emma Phillips,42464177
2026-05-17 06:07:48,85W-140 Oil,84.13Ltr,PBC6761,George Clark,18850542
2026-05-17 10:02:24,85W-140 Oil,229.42Ltr,KLB0089,John Baker,16461063
2026-05-17 13:57:00,15W40 Oil,563.10Ltr,KFH4717,Jack Scott,86281141
2026-05-17 17:51:36,85W-140 Oil,267.23Ltr,KWT2553,William Smith,37941481
